open,close,low,high,volume,amount,symbol,type,start_timestamp,end_timestamp
2319.47,2317.73,2317.01,2321.0,1339.176192,3105037.584751,SPOT_ETH_USDT,5m,2024-02-05 09:10:00,2024-02-05 09:15:00
2317.75,2320.72,2316.88,2320.99,879.763797,2040583.4692255,SPOT_ETH_USDT,5m,2024-02-05 09:15:00,2024-02-05 09:20:00
2320.79,2320.03,2319.25,2322.33,947.113894,2197975.10494986,SPOT_ETH_USDT,5m,2024-02-05 09:20:00,2024-02-05 09:25:00
2319.87,2320.07,2318.35,2320.55,459.54063,1065995.0506041,SPOT_ETH_USDT,5m,2024-02-05 09:25:00,2024-02-05 09:30:00
2320.07,2317.87,2317.77,2321.23,743.760776,1725302.80896798,SPOT_ETH_USDT,5m,2024-02-05 09:30:00,2024-02-05 09:35:00
2317.87,2316.29,2315.63,2317.9,670.728089,1554013.41265638,SPOT_ETH_USDT,5m,2024-02-05 09:35:00,2024-02-05 09:40:00
2316.3,2315.96,2315.53,2317.03,599.176982,1387851.1939632,SPOT_ETH_USDT,5m,2024-02-05 09:40:00,2024-02-05 09:45:00
2315.96,2317.38,2314.66,2318.4,898.564504,2081021.40229276,SPOT_ETH_USDT,5m,2024-02-05 09:45:00,2024-02-05 09:50:00
2317.38,2317.86,2316.72,2318.51,421.10048,975853.28837557,SPOT_ETH_USDT,5m,2024-02-05 09:50:00,2024-02-05 09:55:00
2317.87,2320.72,2317.78,2321.48,582.499143,1351493.67657565,SPOT_ETH_USDT,5m,2024-02-05 09:55:00,2024-02-05 10:00:00
2320.92,2329.55,2320.92,2330.8,3839.800785,8935971.15301653,SPOT_ETH_USDT,5m,2024-02-05 10:00:00,2024-02-05 10:05:00
2329.5,2326.59,2325.77,2332.94,2198.271751,5121557.3590575,SPOT_ETH_USDT,5m,2024-02-05 10:05:00,2024-02-05 10:10:00
2326.39,2327.03,2324.35,2329.19,1056.869591,2458909.5800188,SPOT_ETH_USDT,5m,2024-02-05 10:10:00,2024-02-05 10:15:00
2327.2,2326.98,2326.07,2327.89,766.075128,1782440.63954457,SPOT_ETH_USDT,5m,2024-02-05 10:15:00,2024-02-05 10:20:00
2327.17,2326.05,2325.79,2329.2,694.023828,1615486.36986064,SPOT_ETH_USDT,5m,2024-02-05 10:20:00,2024-02-05 10:25:00
2326.05,2326.59,2324.64,2326.85,748.325222,1740443.37151008,SPOT_ETH_USDT,5m,2024-02-05 10:25:00,2024-02-05 10:30:00
2326.84,2325.56,2324.91,2328.4,1413.276722,3288077.55873634,SPOT_ETH_USDT,5m,2024-02-05 10:30:00,2024-02-05 10:35:00
2325.56,2325.62,2324.17,2326.41,874.69486,2034015.31250063,SPOT_ETH_USDT,5m,2024-02-05 10:35:00,2024-02-05 10:40:00
2325.92,2325.99,2324.45,2326.7,566.437058,1317370.88427647,SPOT_ETH_USDT,5m,2024-02-05 10:40:00,2024-02-05 10:45:00
2325.98,2325.67,2324.49,2326.08,431.499603,1003494.98190961,SPOT_ETH_USDT,5m,2024-02-05 10:45:00,2024-02-05 10:50:00
2325.68,2323.0,2322.22,2325.68,926.602416,2153140.70255314,SPOT_ETH_USDT,5m,2024-02-05 10:50:00,2024-02-05 10:55:00
2323.0,2322.84,2322.69,2324.05,597.597024,1388360.46976545,SPOT_ETH_USDT,5m,2024-02-05 10:55:00,2024-02-05 11:00:00
2322.89,2325.54,2321.93,2325.75,1110.091856,2579595.86814585,SPOT_ETH_USDT,5m,2024-02-05 11:00:00,2024-02-05 11:05:00
2325.54,2325.34,2324.16,2326.18,541.007808,1257945.61418768,SPOT_ETH_USDT,5m,2024-02-05 11:05:00,2024-02-05 11:10:00
2325.35,2327.29,2325.0,2327.35,634.348791,1475538.54629835,SPOT_ETH_USDT,5m,2024-02-05 11:10:00,2024-02-05 11:15:00
2327.28,2325.72,2325.37,2328.16,855.464929,1990659.13402043,SPOT_ETH_USDT,5m,2024-02-05 11:15:00,2024-02-05 11:20:00
2325.68,2327.48,2324.25,2327.48,452.779913,1053187.75338143,SPOT_ETH_USDT,5m,2024-02-05 11:20:00,2024-02-05 11:25:00
2327.29,2326.13,2326.05,2327.55,258.528386,601563.53946213,SPOT_ETH_USDT,5m,2024-02-05 11:25:00,2024-02-05 11:30:00
2326.34,2328.46,2325.31,2328.46,986.528982,2295812.74845086,SPOT_ETH_USDT,5m,2024-02-05 11:30:00,2024-02-05 11:35:00
2328.39,2328.42,2327.98,2329.92,623.271091,1451666.08535481,SPOT_ETH_USDT,5m,2024-02-05 11:35:00,2024-02-05 11:40:00
2328.42,2327.32,2326.9,2328.77,412.859948,960988.07397536,SPOT_ETH_USDT,5m,2024-02-05 11:40:00,2024-02-05 11:45:00
2327.32,2325.45,2323.36,2327.87,668.393396,1554190.5868941,SPOT_ETH_USDT,5m,2024-02-05 11:45:00,2024-02-05 11:50:00
2325.44,2327.88,2324.42,2328.61,512.575091,1192902.50456985,SPOT_ETH_USDT,5m,2024-02-05 11:50:00,2024-02-05 11:55:00
2327.88,2329.63,2327.64,2329.98,469.456772,1093322.23401256,SPOT_ETH_USDT,5m,2024-02-05 11:55:00,2024-02-05 12:00:00
2329.62,2331.15,2329.47,2331.2,1148.472889,2676493.9023516,SPOT_ETH_USDT,5m,2024-02-05 12:00:00,2024-02-05 12:05:00
2331.15,2328.41,2328.1,2331.56,928.366561,2163175.27906442,SPOT_ETH_USDT,5m,2024-02-05 12:05:00,2024-02-05 12:10:00
2328.12,2330.58,2327.99,2331.52,1817.864215,4234761.0942873,SPOT_ETH_USDT,5m,2024-02-05 12:10:00,2024-02-05 12:15:00
2331.0,2329.48,2329.29,2331.37,554.978323,1293487.06888808,SPOT_ETH_USDT,5m,2024-02-05 12:15:00,2024-02-05 12:20:00
2316.85,2317.42,2316.59,2318.85,822.822441,1907053.29601161,SPOT_ETH_USDT,5m,2024-02-06 04:00:00,2024-02-06 04:05:00
2317.61,2316.04,2314.78,2318.08,1180.179573,2733829.20334097,SPOT_ETH_USDT,5m,2024-02-06 04:05:00,2024-02-06 04:10:00
2316.07,2315.82,2314.29,2316.23,475.363745,1100473.94169724,SPOT_ETH_USDT,5m,2024-02-06 04:10:00,2024-02-06 04:15:00
2315.84,2315.37,2312.96,2315.94,410.956889,951230.50437557,SPOT_ETH_USDT,5m,2024-02-06 04:15:00,2024-02-06 04:20:00
2315.84,2318.16,2315.29,2319.73,890.934423,2064484.40588998,SPOT_ETH_USDT,5m,2024-02-06 04:20:00,2024-02-06 04:25:00
2318.08,2319.2,2317.68,2319.55,596.544192,1383189.67125704,SPOT_ETH_USDT,5m,2024-02-06 04:25:00,2024-02-06 04:30:00
2319.23,2316.69,2316.38,2319.27,659.786746,1529106.18489776,SPOT_ETH_USDT,5m,2024-02-06 04:30:00,2024-02-06 04:35:00
2316.61,2316.51,2316.03,2317.47,369.816195,856792.1851443,SPOT_ETH_USDT,5m,2024-02-06 04:35:00,2024-02-06 04:40:00
2316.52,2315.0,2314.04,2317.37,628.411064,1455337.56775805,SPOT_ETH_USDT,5m,2024-02-06 04:40:00,2024-02-06 04:45:00
2314.83,2314.65,2312.64,2315.19,1097.328111,2538809.82846694,SPOT_ETH_USDT,5m,2024-02-06 04:45:00,2024-02-06 04:50:00
2314.64,2315.03,2314.61,2315.52,212.649196,492298.08044853,SPOT_ETH_USDT,5m,2024-02-06 04:50:00,2024-02-06 04:55:00
2314.96,2314.77,2314.32,2315.46,344.615703,797744.73313202,SPOT_ETH_USDT,5m,2024-02-06 04:55:00,2024-02-06 05:00:00
