number,train_f1score,valid_f1score,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,system_attrs_nsga2:generation,state
120,0.9710069742510078,0.5219644754270176,2024-10-09 02:41:57.495264,2024-10-09 02:52:53.507818,0 days 00:10:56.012554,0.06741433201530245,10,0.5961129696083574,177,2,COMPLETE
121,0.7433203608924599,0.5346093194675221,2024-10-09 02:52:53.508615,2024-10-09 03:01:46.895910,0 days 00:08:53.387295,0.07016013437020037,6,0.8064827183758972,232,2,COMPLETE
122,0.8464117043490917,0.5293471369388144,2024-10-09 03:01:46.896739,2024-10-09 03:09:06.071541,0 days 00:07:19.174802,0.051778048811440894,9,0.677104760341481,131,2,COMPLETE
123,0.8766747605224441,0.5285798886020675,2024-10-09 03:09:06.072348,2024-10-09 03:21:47.218351,0 days 00:12:41.146003,0.052920526707870244,8,0.9310666655302158,253,2,COMPLETE
124,0.8515180024062778,0.5294750440636067,2024-10-09 03:21:47.218798,2024-10-09 03:34:02.646022,0 days 00:12:15.427224,0.017511372081297286,10,0.5036229602716356,198,2,COMPLETE
125,0.8393007571722392,0.5268579172398948,2024-10-09 03:34:02.646824,2024-10-09 03:45:49.679131,0 days 00:11:47.032307,0.044258082472027074,8,0.7909156205464412,235,2,COMPLETE
126,0.7099443805285546,0.5406681254271923,2024-10-09 03:45:49.679550,2024-10-09 03:56:58.412669,0 days 00:11:08.733119,0.044258082472027074,6,0.7909156205464412,294,2,COMPLETE
127,0.8656610801298987,0.5332085562650163,2024-10-09 03:56:58.413391,2024-10-09 04:05:37.952342,0 days 00:08:39.538951,0.07016013437020037,8,0.8742144637669689,173,2,COMPLETE
128,0.7751422459880407,0.5304719363128364,2024-10-09 04:05:37.953040,2024-10-09 04:18:12.661518,0 days 00:12:34.708478,0.04016711800220561,7,0.5827011375096942,285,2,COMPLETE
129,0.5917744244867781,0.5368322936483667,2024-10-09 04:18:12.661975,2024-10-09 04:23:30.374329,0 days 00:05:17.712354,0.07016013437020037,4,0.5563121019927195,199,2,COMPLETE
130,0.84399120055209,0.5239244494163383,2024-10-09 04:23:30.375063,2024-10-09 04:36:53.719693,0 days 00:13:23.344630,0.04016711800220561,8,0.5356071607778772,268,2,COMPLETE
131,0.6735746161388704,0.5355964987950947,2024-10-09 04:36:53.720107,2024-10-09 04:42:39.187417,0 days 00:05:45.467310,0.09879746144761016,5,0.5827011375096942,177,2,COMPLETE
132,0.7709754939255253,0.5331363184484006,2024-10-09 04:42:39.188160,2024-10-09 04:53:02.001659,0 days 00:10:22.813499,0.03223016058421735,8,0.6295548865750616,207,2,COMPLETE
133,0.7609635528092936,0.5349531864639206,2024-10-09 04:53:02.002433,2024-10-09 05:04:34.931984,0 days 00:11:32.929551,0.02660750487480286,8,0.8570055875313883,231,2,COMPLETE
134,0.7578332533318225,0.5375925725408333,2024-10-09 05:04:34.932487,2024-10-09 05:13:02.072658,0 days 00:08:27.140171,0.08182098781742336,6,0.9311246675377455,221,2,COMPLETE
135,0.6191021866740946,0.5339925552213957,2024-10-09 05:13:02.073090,2024-10-09 05:23:36.302964,0 days 00:10:34.229874,0.007684461831556123,7,0.9583102927514848,239,2,COMPLETE
136,0.9139725047379706,0.5264676871000359,2024-10-09 05:23:36.303405,2024-10-09 05:30:01.750348,0 days 00:06:25.446943,0.06741433201530245,10,0.5827011375096942,104,2,COMPLETE
137,0.5999202151595048,0.5347174334498096,2024-10-09 05:30:01.750790,2024-10-09 05:35:46.752575,0 days 00:05:45.001785,0.04440378147323123,5,0.9799531830614958,177,2,COMPLETE
138,0.8358366082183482,0.5307533354110681,2024-10-09 05:35:46.753001,2024-10-09 05:48:18.636693,0 days 00:12:31.883692,0.04016711800220561,8,0.8265961926840348,251,2,COMPLETE
139,0.7345353532967676,0.539024823038366,2024-10-09 05:48:18.637166,2024-10-09 05:56:22.570966,0 days 00:08:03.933800,0.07145318614018284,6,0.5585148923981624,210,2,COMPLETE
140,0.7814443620641705,0.5362815589378136,2024-10-09 05:56:22.571395,2024-10-09 06:09:49.472380,0 days 00:13:26.900985,0.02660750487480286,8,0.5356071607778772,268,2,COMPLETE
141,0.6884393174174388,0.5430395182338165,2024-10-09 06:09:49.472827,2024-10-09 06:14:57.008576,0 days 00:05:07.535749,0.08253672288606748,6,0.8411973727769417,133,2,COMPLETE
